identifier,full_link,title,weight,axis
coin-11709,https://catalog.princeton.edu/catalog/coin-11709,"Khusro I, Drachm, Ahmadan",3.08,3
coin-1171,https://catalog.princeton.edu/catalog/coin-1171,"half-shekel, Tyre",6.84,12
coin-11710,https://catalog.princeton.edu/catalog/coin-11710,"Khusro I, Drachm",3.93,3
coin-11711,https://catalog.princeton.edu/catalog/coin-11711,"Khusro I, Drachm, Yazd",3.98,3
coin-11712,https://catalog.princeton.edu/catalog/coin-11712,"Khusro I, Drachm",3.84,3
coin-11713,https://catalog.princeton.edu/catalog/coin-11713,"Khusro I, Drachm, Abarshahr",3.98,3
coin-11714,https://catalog.princeton.edu/catalog/coin-11714,"Khusro I, Drachm, Ray",4.07,3
coin-11715,https://catalog.princeton.edu/catalog/coin-11715,"Khusro I, Drachm, Weh-az-Andiyok-Khusro",3.36,3
coin-11716,https://catalog.princeton.edu/catalog/coin-11716,"Khusro I, Drachm, Ahmadan",3.94,3
coin-11717,https://catalog.princeton.edu/catalog/coin-11717,"Khusro I, Drachm, Ohrmazd-Ardashir",2.74,3
coin-11718,https://catalog.princeton.edu/catalog/coin-11718,"Kawad I/2nd reign, Drachm, Rew-Ardashir",3.9,3
coin-11719,https://catalog.princeton.edu/catalog/coin-11719,"Khusro I, Drachm, Weh-az-Andiyok-Khusro",4.01,3
coin-1172,https://catalog.princeton.edu/catalog/coin-1172,"Louis XIII (1610 to 1643), double tournois",2.94,6
coin-11720,https://catalog.princeton.edu/catalog/coin-11720,"Khusro I, Drachm, Karzi",3.89,3
coin-11721,https://catalog.princeton.edu/catalog/coin-11721,"Khusro I, Drachm, Ahmadan",4.04,3
coin-11722,https://catalog.princeton.edu/catalog/coin-11722,"Khusro I, Drachm, Forat-Meshan",4.03,3
coin-11723,https://catalog.princeton.edu/catalog/coin-11723,denarius serratus,3.82,11
coin-11724,https://catalog.princeton.edu/catalog/coin-11724,"Khusro I, Drachm, Weh-az-Andiyok-Khusro",4.04,3
coin-11725,https://catalog.princeton.edu/catalog/coin-11725,"Khusro I, Drachm, Yazd",2.98,3
coin-11726,https://catalog.princeton.edu/catalog/coin-11726,"Khusro I, Drachm, Amul",3.81,3
coin-11727,https://catalog.princeton.edu/catalog/coin-11727,"Khusro I, Drachm, Forat-Meshan",3.86,9
coin-11728,https://catalog.princeton.edu/catalog/coin-11728,denarius serratus,3.89,8
coin-11729,https://catalog.princeton.edu/catalog/coin-11729,"Khusro I, Drachm, Ray",3.97,3
coin-1173,https://catalog.princeton.edu/catalog/coin-1173,liard,2.27,6
coin-11730,https://catalog.princeton.edu/catalog/coin-11730,"Khusro I, Drachm, Weh-Andiyok-Shapur",3.32,3
coin-11731,https://catalog.princeton.edu/catalog/coin-11731,"Khusro I, Drachm",3.54,3
coin-11732,https://catalog.princeton.edu/catalog/coin-11732,denarius serratus,3.97,9
coin-11733,https://catalog.princeton.edu/catalog/coin-11733,"Khusro I, Drachm, Kirman",3.13,1
coin-11734,https://catalog.princeton.edu/catalog/coin-11734,"Khusro I, Drachm, Kirman",,
coin-11735,https://catalog.princeton.edu/catalog/coin-11735,"Khusro I, Drachm, Ohrmazd-Ardashir",4.11,9
coin-11736,https://catalog.princeton.edu/catalog/coin-11736,"Khusro I, Drachm, Yazd",4.03,9
coin-11737,https://catalog.princeton.edu/catalog/coin-11737,"Khusro I, Drachm, Stakhr",4.07,3
coin-11738,https://catalog.princeton.edu/catalog/coin-11738,"Ohrmazd IV, Drachm, Weh-az-Andiyok-Khusro",4.12,9
coin-11739,https://catalog.princeton.edu/catalog/coin-11739,"Ohrmazd IV, Drachm, Kirman",4.16,3
coin-1174,https://catalog.princeton.edu/catalog/coin-1174,"shekel, Tyre",13.39,12
coin-11740,https://catalog.princeton.edu/catalog/coin-11740,"Ohrmazd IV, Drachm",3.64,3
coin-11741,https://catalog.princeton.edu/catalog/coin-11741,"Ohrmazd IV, Drachm",3.0,4
coin-11742,https://catalog.princeton.edu/catalog/coin-11742,"Ohrmazd IV, Drachm",4.07,3
coin-11743,https://catalog.princeton.edu/catalog/coin-11743,"Ohrmazd IV, Drachm",4.11,3
coin-11744,https://catalog.princeton.edu/catalog/coin-11744,"Ohrmazd IV, Drachm, Yazd",4.17,3
coin-11745,https://catalog.princeton.edu/catalog/coin-11745,"Ohrmazd IV, Drachm, Ahmadan",2.69,12
coin-11746,https://catalog.princeton.edu/catalog/coin-11746,"Ohrmazd IV, Drachm",3.98,3
coin-11747,https://catalog.princeton.edu/catalog/coin-11747,"Ohrmazd IV, Drachm",3.99,3
coin-11748,https://catalog.princeton.edu/catalog/coin-11748,"Ohrmazd IV, Drachm, Yazd",3.75,3
coin-11749,https://catalog.princeton.edu/catalog/coin-11749,"Ohrmazd IV, Drachm, Eran-khwarrah-Shapur",4.15,9
coin-1175,https://catalog.princeton.edu/catalog/coin-1175,"shekel, Tyre",13.53,1
coin-11750,https://catalog.princeton.edu/catalog/coin-11750,"Ohrmazd IV, Drachm",4.15,9
coin-11751,https://catalog.princeton.edu/catalog/coin-11751,"Ohrmazd IV, Drachm, Eran-khwarrah-Shapur",3.0,4
coin-11752,https://catalog.princeton.edu/catalog/coin-11752,"Ohrmazd IV, Drachm, Weh-az-Andiyok-Khusro",4.06,3
coin-11753,https://catalog.princeton.edu/catalog/coin-11753,"Ohrmazd IV, Drachm, Bishapur",3.42,3
coin-11754,https://catalog.princeton.edu/catalog/coin-11754,"Khusro II/ 1ST reign, Drachm, Bishapur",4.05,3
coin-11755,https://catalog.princeton.edu/catalog/coin-11755,"Khusro II/ 2nd reign, Drachm, Bishapur",4.13,3
coin-11756,https://catalog.princeton.edu/catalog/coin-11756,"Khusro II/ 2nd reign, Drachm, Ardashir-khwarrah",3.03,9
coin-11757,https://catalog.princeton.edu/catalog/coin-11757,"Khusro II/ 2nd reign, Drachm, Ohrmazd-Ardashir",2.89,3
coin-11758,https://catalog.princeton.edu/catalog/coin-11758,"Yazdgerd III, Drachm, Kirman",1.26,9
coin-11759,https://catalog.princeton.edu/catalog/coin-11759,"Khusro II/ 2nd reign, Drachm, Weh-az-Andiyok-Khusro",3.94,3
coin-1176,https://catalog.princeton.edu/catalog/coin-1176,"shekel, Tyre",13.81,12
coin-11760,https://catalog.princeton.edu/catalog/coin-11760,"Khusro II/ 2nd reign, Drachm, Weh-Andiyok-Shapur",4.12,3
coin-11761,https://catalog.princeton.edu/catalog/coin-11761,"Khusro II/ 2nd reign, Drachm, Darabgerd",4.28,3
coin-11762,https://catalog.princeton.edu/catalog/coin-11762,"Khusro II/ 2nd reign, Drachm",4.06,3
coin-11763,https://catalog.princeton.edu/catalog/coin-11763,"Khusro II/ 2nd reign, Drachm, Forat-Meshan",4.11,3
coin-11764,https://catalog.princeton.edu/catalog/coin-11764,"Khusro II/ 2nd reign, Drachm, Amul",4.07,3
coin-11765,https://catalog.princeton.edu/catalog/coin-11765,"Khusro II/ 2nd reign, Drachm, Rew-Ardashir",4.11,9
coin-11766,https://catalog.princeton.edu/catalog/coin-11766,"Khusro II/ 2nd reign, Drachm, Eran-khwarrah-Shapur",3.86,3
coin-11767,https://catalog.princeton.edu/catalog/coin-11767,"Khusro II/ 2nd reign, Drachm, Stakhr",3.99,3
coin-11768,https://catalog.princeton.edu/catalog/coin-11768,"Khusro II/ 2nd reign, Drachm, Gay",3.42,9
coin-11769,https://catalog.princeton.edu/catalog/coin-11769,"Khusro II/ 2nd reign, Drachm",2.47,3
coin-1177,https://catalog.princeton.edu/catalog/coin-1177,"shekel, Tyre",13.89,2
coin-11770,https://catalog.princeton.edu/catalog/coin-11770,"Khusro II/ 2nd reign, Drachm",4.05,9
coin-11771,https://catalog.princeton.edu/catalog/coin-11771,"Khusro II/ 2nd reign, Drachm, Ray",3.75,3
coin-11772,https://catalog.princeton.edu/catalog/coin-11772,"Khusro II/ 2nd reign, Drachm, Ray",4.06,3
coin-11773,https://catalog.princeton.edu/catalog/coin-11773,"Khusro II/ 2nd reign, Drachm",3.68,3
coin-11774,https://catalog.princeton.edu/catalog/coin-11774,"Khusro II/ 2nd reign, Drachm",4.04,3
coin-11775,https://catalog.princeton.edu/catalog/coin-11775,"Khusro II/ 2nd reign, Drachm",3.16,3
coin-11776,https://catalog.princeton.edu/catalog/coin-11776,"Khusro II/ 2nd reign, Drachm, Forat-Meshan",4.09,3
coin-11777,https://catalog.princeton.edu/catalog/coin-11777,"Khusro II/ 2nd reign, Drachm, Ahmadan",3.05,3
coin-11778,https://catalog.princeton.edu/catalog/coin-11778,"Constantine I (306 to 337), follis, Antioch",2.21,5
coin-11779,https://catalog.princeton.edu/catalog/coin-11779,"Khusro II/ 2nd reign, Drachm, Ahmadan",4.0,9
coin-1178,https://catalog.princeton.edu/catalog/coin-1178,Guang Xu 光緒 (1875 to 1908),3.69,
coin-11780,https://catalog.princeton.edu/catalog/coin-11780,"Constantine I (306 to 337), follis, Rome",2.32,6
coin-11781,https://catalog.princeton.edu/catalog/coin-11781,"Khusro II/ 2nd reign, Drachm, Marw",3.84,3
coin-11782,https://catalog.princeton.edu/catalog/coin-11782,"Ardashir III, Drachm, Nihawand",4.23,3
coin-11783,https://catalog.princeton.edu/catalog/coin-11783,"Constantine I (306 to 337), follis, Antioch",,
coin-11784,https://catalog.princeton.edu/catalog/coin-11784,"Ardashir III, Drachm, Nihawand",3.38,3
coin-11785,https://catalog.princeton.edu/catalog/coin-11785,"Constantine I (306 to 337), follis, Thessalonica",2.63,12
coin-11786,https://catalog.princeton.edu/catalog/coin-11786,"Ardashir III, Drachm, Ahmadan",4.16,3
coin-11787,https://catalog.princeton.edu/catalog/coin-11787,"Constantine I (306 to 337), follis, Antioch",1.69,5
coin-11788,https://catalog.princeton.edu/catalog/coin-11788,"Ardashir III, Drachm, Stakhr",3.87,3
coin-11789,https://catalog.princeton.edu/catalog/coin-11789,"Constantine I (306 to 337), follis, Antioch",1.66,6
coin-1179,https://catalog.princeton.edu/catalog/coin-1179,"Hieron II (-274 to -216), litra, Syracuse",13.54,2
coin-11790,https://catalog.princeton.edu/catalog/coin-11790,"Ardashir III, Drachm, Ardashir-khwarrah",4.13,3
coin-11791,https://catalog.princeton.edu/catalog/coin-11791,"Constantine I (306 to 337), follis, Thessalonica",3.21,6
coin-11792,https://catalog.princeton.edu/catalog/coin-11792,denarius serratus,3.76,7
coin-11793,https://catalog.princeton.edu/catalog/coin-11793,denarius serratus,3.92,4
coin-11794,https://catalog.princeton.edu/catalog/coin-11794,denarius serratus,3.91,7
coin-11795,https://catalog.princeton.edu/catalog/coin-11795,denarius serratus,3.7,
coin-11796,https://catalog.princeton.edu/catalog/coin-11796,denarius serratus,3.82,7
coin-11797,https://catalog.princeton.edu/catalog/coin-11797,as,19.23,6
coin-11798,https://catalog.princeton.edu/catalog/coin-11798,denarius,3.88,10
coin-11799,https://catalog.princeton.edu/catalog/coin-11799,denarius,3.87,9
coin-118,https://catalog.princeton.edu/catalog/coin-118,"Anastasius I (491 to 518), 5 nummi, Constantinople",,
coin-1180,https://catalog.princeton.edu/catalog/coin-1180,Guang Xu 光緒 (1875 to 1908),2.55,
coin-11800,https://catalog.princeton.edu/catalog/coin-11800,denarius,3.81,5
coin-11801,https://catalog.princeton.edu/catalog/coin-11801,denarius,3.77,4
coin-11802,https://catalog.princeton.edu/catalog/coin-11802,denarius,3.79,5
coin-11803,https://catalog.princeton.edu/catalog/coin-11803,"Michael VII (1071 to 1078), follis, Antioch",3.194,5
coin-11804,https://catalog.princeton.edu/catalog/coin-11804,"Constantine I (306 to 337), follis, Antioch",0.93,6
coin-11805,https://catalog.princeton.edu/catalog/coin-11805,"Michael VII (1071 to 1078), follis, Antioch",5.056,6
coin-11806,https://catalog.princeton.edu/catalog/coin-11806,"Michael VII (1071 to 1078), follis, Antioch",,
coin-11807,https://catalog.princeton.edu/catalog/coin-11807,"Constantine I (306 to 337), follis, Constantinople",1.37,6
coin-11808,https://catalog.princeton.edu/catalog/coin-11808,"Michael VII (1071 to 1078), follis, Antioch",4.608,6
coin-11809,https://catalog.princeton.edu/catalog/coin-11809,"Michael VII (1071 to 1078), follis, Antioch",,
coin-1181,https://catalog.princeton.edu/catalog/coin-1181,"Guang Xu 光緒 (1875 to 1908), Wu Chang",2.75,
coin-11810,https://catalog.princeton.edu/catalog/coin-11810,"Michael VII (1071 to 1078), follis, Antioch",3.597,6
coin-11811,https://catalog.princeton.edu/catalog/coin-11811,"Michael VII (1071 to 1078), follis, Antioch",2.143,6
coin-11812,https://catalog.princeton.edu/catalog/coin-11812,"Constantine I (306 to 337), follis, Cyzicus",0.93,6
coin-11813,https://catalog.princeton.edu/catalog/coin-11813,"Michael VII (1071 to 1078), follis, Antioch",2.294,5
coin-11814,https://catalog.princeton.edu/catalog/coin-11814,"Michael VII (1071 to 1078), follis, Antioch",2.38,6
coin-11815,https://catalog.princeton.edu/catalog/coin-11815,"Michael VII (1071 to 1078), follis, Antioch",2.311,
coin-11816,https://catalog.princeton.edu/catalog/coin-11816,"Michael IV (1034 to 1041), follis, Antioch",6.425,7
coin-11817,https://catalog.princeton.edu/catalog/coin-11817,"Constantine IX Monomachus (1042 to 1055), follis, Antioch",4.051,6
coin-11818,https://catalog.princeton.edu/catalog/coin-11818,"Constantine IX Monomachus (1042 to 1055), follis, Antioch",,
coin-11819,https://catalog.princeton.edu/catalog/coin-11819,"Michael IV (1034 to 1041), follis, Antioch",,
coin-1182,https://catalog.princeton.edu/catalog/coin-1182,"Hieron II (-274 to -216), litra, Syracuse",13.8,3
coin-11820,https://catalog.princeton.edu/catalog/coin-11820,"Michael IV (1034 to 1041), follis, Antioch",8.811,6
coin-11821,https://catalog.princeton.edu/catalog/coin-11821,"Michael IV (1034 to 1041), follis, Antioch",,
coin-11822,https://catalog.princeton.edu/catalog/coin-11822,"Nicephorus III (1078 to 1081), follis, Antioch",1.82,6
coin-11823,https://catalog.princeton.edu/catalog/coin-11823,"Michael IV (1034 to 1041), follis, Antioch",6.417,6
coin-11824,https://catalog.princeton.edu/catalog/coin-11824,"Michael IV (1034 to 1041), follis, Antioch",10.806,6
coin-11825,https://catalog.princeton.edu/catalog/coin-11825,"Michael IV (1034 to 1041), follis, Antioch",,
coin-11826,https://catalog.princeton.edu/catalog/coin-11826,"Michael IV (1034 to 1041), follis, Antioch",7.234,6
coin-11827,https://catalog.princeton.edu/catalog/coin-11827,"Nicephorus III (1078 to 1081), follis",5.834,6
coin-11828,https://catalog.princeton.edu/catalog/coin-11828,ducat,3.52,12
coin-11829,https://catalog.princeton.edu/catalog/coin-11829,ducat,3.52,11
coin-1183,https://catalog.princeton.edu/catalog/coin-1183,Guang Xu 光緒 (1875 to 1908),3.49,
coin-11830,https://catalog.princeton.edu/catalog/coin-11830,ducat,3.48,11
coin-11831,https://catalog.princeton.edu/catalog/coin-11831,ducat,3.44,3
coin-11832,https://catalog.princeton.edu/catalog/coin-11832,"Nicephorus III (1078 to 1081), follis",3.003,6
coin-11833,https://catalog.princeton.edu/catalog/coin-11833,"Nicephorus III (1078 to 1081), follis",7.141,6
coin-11834,https://catalog.princeton.edu/catalog/coin-11834,"Nicephorus III (1078 to 1081), follis",3.091,6
coin-11835,https://catalog.princeton.edu/catalog/coin-11835,"Nicephorus III (1078 to 1081), follis",2.568,6
coin-11836,https://catalog.princeton.edu/catalog/coin-11836,"Nicephorus III (1078 to 1081), follis",1.896,6
coin-11837,https://catalog.princeton.edu/catalog/coin-11837,"Nicephorus III (1078 to 1081), follis",3.56,6
coin-11838,https://catalog.princeton.edu/catalog/coin-11838,"Nicephorus III (1078 to 1081), follis",5.632,6
coin-11839,https://catalog.princeton.edu/catalog/coin-11839,"Nicephorus III (1078 to 1081), follis",4.653,6
coin-1184,https://catalog.princeton.edu/catalog/coin-1184,"Hieron II (-274 to -216), litra, Syracuse",13.93,11
coin-11840,https://catalog.princeton.edu/catalog/coin-11840,"Nicephorus III (1078 to 1081), follis",4.579,6
coin-11841,https://catalog.princeton.edu/catalog/coin-11841,"Nicephorus III (1078 to 1081), follis",2.393,6
coin-11842,https://catalog.princeton.edu/catalog/coin-11842,"Nicephorus III (1078 to 1081), follis",,
coin-11843,https://catalog.princeton.edu/catalog/coin-11843,"Nicephorus III (1078 to 1081), follis",4.27,6
coin-11844,https://catalog.princeton.edu/catalog/coin-11844,"Constantine I (306 to 337), follis",3.72,5
coin-11845,https://catalog.princeton.edu/catalog/coin-11845,"Constantine I (306 to 337), follis, Arles",3.02,6
