ID,Catalog link,Existing References,Nomisma dataset,Reference link,Monogram link from http://numismatics.org/hrc/symbols,Second monogram link,Third monogram link,
66,https://catalog.princeton.edu/catalog/coin-66,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
68,https://catalog.princeton.edu/catalog/coin-68,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
69,https://catalog.princeton.edu/catalog/coin-69,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
70,https://catalog.princeton.edu/catalog/coin-70,Anastasius 28bЄ; Anastasius 23l;BMC.Byz. Anastasius 28v.;Sear  21,,,,,,
71,https://catalog.princeton.edu/catalog/coin-71,Anastasius 29v.; Anastasius 23v.;BMC.Byz. Anastasius 29v.;Sear  19v.,,,,,,
72,https://catalog.princeton.edu/catalog/coin-72,Anastasius 27-30; Anastasius 23;BMC.Byz. Anastasius 17-29;Sear  19-22,,,,,,
73,https://catalog.princeton.edu/catalog/coin-73,Anastasius I 22; Anastasius I 16;BMC.Byz. Anastasius I 41;Sear  14,,,,,,
74,https://catalog.princeton.edu/catalog/coin-74,Anastasius I 22; Anastasius I 16;BMC.Byz. Anastasius I 41;Sear  14,,,,,,
75,https://catalog.princeton.edu/catalog/coin-75,Anastasius 32A; Anastasius 24a;BMC.Byz. Anastasius 42;Sear  24,,,,,,
76,https://catalog.princeton.edu/catalog/coin-76,Anastasius 32B; Anastasius 21b;BMC.Byz. Anastasius 43;Sear  24,,,,,,
77,https://catalog.princeton.edu/catalog/coin-77,Anastasius 47; Anastasius 35v.;BMC.Byz. Anastasius 63;Sear  38,,,,,,
78,https://catalog.princeton.edu/catalog/coin-78,Anastasius 47; Anastasius 35v.;BMC.Byz. Anastasius 63;Sear  38,,,,,,
79,https://catalog.princeton.edu/catalog/coin-79,Anastasius 47; Anastasius 35v.;BMC.Byz. Anastasius 63;Sear  38,,,,,,
80,https://catalog.princeton.edu/catalog/coin-80,Anastasius I 31; Anastasius I 18;BMC.Byz. Anastasius I 49;Sear  23,,,,,,
81,https://catalog.princeton.edu/catalog/coin-81,Anastasius 32A; Anastasius 21a;BMC.Byz. Anastasius 42;Sear  24,,,,,,
82,https://catalog.princeton.edu/catalog/coin-82,Anastasius I 34;  25;BMC.Byz.  34;Sear  28,,,,,,
83,https://catalog.princeton.edu/catalog/coin-83,Anastasius 35; Anastasius 22;BMC.Byz. Anastasius 63;Sear  26,,,,,,
84,https://catalog.princeton.edu/catalog/coin-84,Anastasius I 34;  25;BMC.Byz.  34;Sear  28,,,,,,
85,https://catalog.princeton.edu/catalog/coin-85,Anastasius I 34;  25;BMC.Byz.  34;Sear  28,,,,,,
86,https://catalog.princeton.edu/catalog/coin-86,12; Anastasius 10a;BL Anastasius 22,,,,,,
87,https://catalog.princeton.edu/catalog/coin-87,Anastasius 27B; Anastasius 23b;BMC.Byz.  20;Sear  19,,,,,,
88,https://catalog.princeton.edu/catalog/coin-88,Anastasius 27B; Anastasius 23b;BMC.Byz.  20;Sear  19,,,,,,
89,https://catalog.princeton.edu/catalog/coin-89,Anastasius 27Δ; Anastasius 23f;BMC.Byz. Anastasius 25;Sear  19,,,,,,
90,https://catalog.princeton.edu/catalog/coin-90,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
91,https://catalog.princeton.edu/catalog/coin-91,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
92,https://catalog.princeton.edu/catalog/coin-92,Anastasius 27Є; Anastasius 23i;BMC.Byz. Anastasius 28;Sear  19,,,,,,
93,https://catalog.princeton.edu/catalog/coin-93,Anastasius 57A; Anastasius 45v.;BMC.Byz. Anastasius 67v.;Sear  47,,,,,,
94,https://catalog.princeton.edu/catalog/coin-94,Anastasius 37a; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
95,https://catalog.princeton.edu/catalog/coin-95,Anastasius 37a; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
96,https://catalog.princeton.edu/catalog/coin-96,Anastasius 37a; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
97,https://catalog.princeton.edu/catalog/coin-97,Anastasius 37a; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
98,https://catalog.princeton.edu/catalog/coin-98,Anastasius 37b; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
99,https://catalog.princeton.edu/catalog/coin-99,Anastasius 37b; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
100,https://catalog.princeton.edu/catalog/coin-100,Anastasius 37b; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
101,https://catalog.princeton.edu/catalog/coin-101,Anastasius 37b; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
102,https://catalog.princeton.edu/catalog/coin-102,Anastasius 37b; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
103,https://catalog.princeton.edu/catalog/coin-103,Anastasius 37b; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
104,https://catalog.princeton.edu/catalog/coin-104,Anastasius 37b; Anastasius 26ev.;BMC.Byz. Anastasius 54v.;Sear  29,,,,,,
105,https://catalog.princeton.edu/catalog/coin-105,Anastasius 38b; Anastasius 26b;BMC.Byz. Anastasius 55;Sear  29,,,,,,
106,https://catalog.princeton.edu/catalog/coin-106,Anastasius 38c; Anastasius 26c;BMC.Byz. Anastasius 57;Sear  29,,,,,,
107,https://catalog.princeton.edu/catalog/coin-107,Anastasius 37e; Anastasius 26ev.;BMC.Byz. Anastasius 57v.;Sear  29,,,,,,
108,https://catalog.princeton.edu/catalog/coin-108,Anastasius 37e; Anastasius 26ev.;BMC.Byz. Anastasius 57v.;Sear  29,,,,,,
109,https://catalog.princeton.edu/catalog/coin-109,Anastasius 37e; Anastasius 26ev.;BMC.Byz. Anastasius 57v.;Sear  29,,,,,,
110,https://catalog.princeton.edu/catalog/coin-110,Anastasius 37e; Anastasius 26ev.;BMC.Byz. Anastasius 57v.;Sear  29,,,,,,
111,https://catalog.princeton.edu/catalog/coin-111,Anastasius 37e; Anastasius 26ev.;BMC.Byz. Anastasius 57v.;Sear  29,,,,,,
112,https://catalog.princeton.edu/catalog/coin-112,Anastasius 37e; Anastasius 26ev.;BMC.Byz. Anastasius 57v.;Sear  29,,,,,,
113,https://catalog.princeton.edu/catalog/coin-113,Anastasius 37e; Anastasius 26ev.;BMC.Byz. Anastasius 57v.;Sear  29,,,,,,
114,https://catalog.princeton.edu/catalog/coin-114,Anastasius 39d; Anastasius 29d;BMC.Byz. Anastasius 58;Sear  29,,,,,,
115,https://catalog.princeton.edu/catalog/coin-115,Anastasius 37d; Anastasius 26e;BMC.Byz. Anastasius 58v.;Sear  29,,,,,,
